Panel,NEMSIS ID,NEMSIS Element Name,Usage/Card,Repeats,Target FHIR Resource,Target Profile,FHIR Path,Datatype Transform,Terminology / ConceptMap,NV handling,PN handling,mPSC Section,Status,Notes
Admin_Org_Crew,eRecord.01,Patient Care Report Number,M [1..1],No,Composition / Bundle,IHE.PCC.FHIR.MS.Composition,Composition.identifier; Bundle.identifier,string→Identifier,system=urn:nemsis:pcr,n/a,n/a,(header),Mapped,PCR business key; also Provenance target
Admin_Org_Crew,eRecord.02,Software Creator,M [1..1],No,Device / Provenance,—,Device.manufacturer; Provenance.entity,string,—,n/a,n/a,(header),Seeded,Source-software attribution
Admin_Org_Crew,eRecord.03,Software Name,M [1..1],No,Device,—,Device.deviceName.name,string,—,n/a,n/a,(header),Seeded,
Admin_Org_Crew,eRecord.04,Software Version,M [1..1],No,Device,—,Device.version.value,string,—,n/a,n/a,(header),Seeded,
Admin_Org_Crew,dAgency.01,EMS Agency Unique State ID,M [1..1],No,Organization,US Core Organization,Organization.identifier,string→Identifier,system=state agency id,n/a,n/a,(author),Mapped,IG-ANCHORED mapping (only populated cells in mPSC)
Admin_Org_Crew,dAgency.02,EMS Agency Number,M [1..1],No,Organization,US Core Organization,Organization.identifier,string→Identifier,system=NASEMSO/national,n/a,n/a,(author),Mapped,IG-ANCHORED
Admin_Org_Crew,dAgency.03,EMS Agency Name,RE [0..1],No,Organization,US Core Organization,Organization.name,string,n/a,NV(7701xxx)→data-absent-reason,n/a,(author),Mapped,IG-ANCHORED
Admin_Org_Crew,dAgency.04,EMS Agency State,M [1..1],No,Organization,US Core Organization,Organization.address.state,string→address,USPS state,n/a,n/a,(author),Mapped,IG-ANCHORED
Admin_Org_Crew,dAgency.25,National Provider Identifier (NPI),O,No,Organization,US Core Organization,Organization.identifier (NPI),string→Identifier,system=http://hl7.org/fhir/sid/us-npi,NV(7701xxx)→data-absent-reason,n/a,(author),Mapped,
Admin_Org_Crew,dPersonnel.*,Personnel roster / certifications,varies,Yes,Practitioner + PractitionerRole,US Core Practitioner/Role,Practitioner.identifier/name; PractitionerRole.code,group→resource,cert level ConceptMap,NV(7701xxx)→data-absent-reason,n/a,(author),Seeded,Referenced by eMedications.09/eProcedures.09 crew IDs
Admin_Org_Crew,eCrew.01,Crew Member ID,RE [0..1],Yes,PractitionerRole,US Core PractitionerRole,PractitionerRole.practitioner→dPersonnel,string→ref,links to dPersonnel,NV(7701xxx)→data-absent-reason,n/a,(author),Mapped,
Admin_Org_Crew,eCrew.02,Crew Member Level,RE [0..1],Yes,PractitionerRole,US Core PractitionerRole,PractitionerRole.code,code,cert-level ConceptMap,NV(7701xxx)→data-absent-reason,n/a,(author),Mapped,
Admin_Org_Crew,eCrew.03,Crew Member Response Role,RE [0..*],Yes,PractitionerRole,US Core PractitionerRole,PractitionerRole.specialty/code,code,response-role ConceptMap,NV(7701xxx)→data-absent-reason,n/a,(author),Mapped,
Admin_Org_Crew,eCustomConfiguration.01-.09,Custom element definitions,varies,Yes,Observation (definition),—,Observation / Observation.value[x] / dataAbsentReason,per IG,local,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,(author),Mapped,"IG-ANCHORED to Observation; .07 NV→valueCodeableConcept, .08 PN→dataAbsentReason, .09 grouping→identifier"
Admin_Org_Crew,eCustomResults.01-.03,Custom element results,varies,Yes,Observation,—,Observation.value[x]; CorrelationID→derivedFrom,per IG,local,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Results,Mapped,"CorrelationID links result↔config (.02 ref, .03 correlation)"
Encounter,eResponse.01,EMS Agency Number,M [1..1],No,Encounter/Organization,US Core Encounter,Encounter.serviceProvider→Organization,ref,—,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,Ties Encounter to Organization
Encounter,eResponse.03,Incident Number,R [1..1],No,Encounter,US Core Encounter,Encounter.identifier,string→Identifier,system=incident,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
Encounter,eResponse.04,EMS Response Number,R [1..1],No,Encounter,US Core Encounter,Encounter.identifier,string→Identifier,system=response,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
Encounter,eResponse.05,Type of Service Requested,M [1..1],No,Encounter,US Core Encounter,Encounter.type / serviceType,code,service-type ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
Encounter,eResponse.07,Unit Transport & Equipment Capability,M [1..1],No,Encounter,—,Encounter.type (secondary),code,ConceptMap→SNOMED,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Seeded,
Encounter,eResponse.08-.12,Dispatch/Response/Scene/Transport/Turnaround Delay,R [1..*],Yes,Observation,—,Observation (delay reasons),code,delay ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Seeded,Operational; may be excluded from CS
Encounter,eResponse.13,EMS Vehicle (Unit) Number,M [1..1],No,Encounter/Location,—,Encounter.location.location→Location(vehicle),string→ref,—,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
Encounter,eResponse.14,EMS Unit Call Sign,M [1..1],No,Location,—,Location.name/alias (vehicle),string,n/a,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
Encounter,eResponse.16-.18,Vehicle Dispatch Location / GPS / USNG,O,No,Location,—,Location.position; Location.address,geo→position,—,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Seeded,
Encounter,eResponse.19-.22,Odometer readings (Begin/OnScene/Dest/End),O,No,Observation,—,Observation (mileage) valueQuantity,decimal→Quantity(mi),—,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Seeded,Billing/QA; often excluded from CS
Encounter,eResponse.23,Response Mode to Scene,M [1..1],No,Encounter,—,Encounter.priority,code,priority ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,Emergent/non-emergent
Encounter,eResponse.24,Additional Response Mode Descriptors,R [1..*],Yes,Encounter,—,Encounter.priority (ext),code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Seeded,
Encounter,eDispatch.01,Dispatch Reason,M [1..1],No,Encounter / Observation,—,Encounter.reasonCode,code,dispatch-reason ConceptMap→SNOMED,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
Encounter,eDispatch.02,EMD Performed,R [1..1],No,Observation,—,Observation (EMD performed) valueBoolean/code,code,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,EMS Course*,Seeded,
Encounter,eDispatch.05,Dispatch Priority (Patient Acuity),O,No,Encounter,—,Encounter.priority (dispatch),code,acuity ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Seeded,
Encounter,eTimes.01,PSAP Call Date/Time,R [1..1],No,Encounter/Observation,—,Provenance.occurred / timeline Observation,dateTime,ISO8601+offset,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,Source printed 'EPSAP' (typo)
Encounter,eTimes.03,Unit Notified by Dispatch Date/Time,M [1..1],No,Encounter,US Core Encounter,Encounter.period.start (dispatch phase),dateTime,ISO8601+offset,n/a,n/a,EMS Course*,Mapped,
Encounter,eTimes.05,Unit En Route Date/Time,R [1..1],No,Encounter,—,EncounterHistory / timeline,dateTime,,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
Encounter,eTimes.06,Unit Arrived on Scene Date/Time,R [1..1],No,Encounter,US Core Encounter,Encounter.period.start (on-scene),dateTime,,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,Primary Encounter.period.start
Encounter,eTimes.07,Arrived at Patient Date/Time,R [1..1],No,Encounter/Observation,—,timeline Observation,dateTime,,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
Encounter,eTimes.09,Unit Left Scene Date/Time,R [1..1],No,Encounter,—,timeline / transport start,dateTime,,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
Encounter,eTimes.11,Patient Arrived at Destination Date/Time,R [1..1],No,Encounter,US Core Encounter,Encounter.period.end (arrival),dateTime,,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
Encounter,eTimes.12,Destination Patient Transfer of Care Date/Time,R [1..1],No,Encounter,US Core Encounter,Encounter.period.end (transfer),dateTime,,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,Handoff moment for mPSC-CS
Encounter,eTimes.02/.04/.08/.10/.13-.17,Other timeline timestamps,varies,No,Observation/EncounterHistory,—,timeline cluster,dateTime,,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Seeded,Full timeline in CR; subset in CS
Encounter,eScene.01,First EMS Unit on Scene,R [1..1],No,Observation,—,Observation valueBoolean,boolean,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,EMS Course*,Seeded,
Encounter,eScene.06,Number of Patients at Scene,R [1..1],No,Observation,—,Observation valueInteger,integer,—,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
Encounter,eScene.07,Mass Casualty Incident,R [1..1],No,Observation / Flag,—,Observation (MCI) valueBoolean; Flag,code,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,EMS Course*,Mapped,
Encounter,eScene.08,Triage Classification for MCI Patient,R [1..1],No,Observation,—,Observation.value (triage color),code,2708xxx ConceptMap (Red/Yellow/Green/Black),NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,START/SALT triage
Encounter,eScene.09,Incident Location Type,R [1..1],No,Location,—,Location.type,code,location-type ConceptMap→v3 RoleCode,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
Encounter,eScene.11,Scene GPS Location,O,No,Location,—,Location.position (lat/long),geo→position,n/a,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,
Encounter,eScene.15-.23,Incident Address / City / State / ZIP / County / Country / Census,RE/R,No,Location,—,Location.address,address,—,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,Scene location resource
ePatient,ePatient.01,EMS Patient ID,O [0..1],No,Patient,IHE.PCC.Patient / US Core Patient,Patient.identifier,string→Identifier,system=agency patient id,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,
ePatient,ePatient.02,Last Name,RE [0..1],No,Patient,US Core Patient,Patient.name.family,string,n/a,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,May be unknown at scene
ePatient,ePatient.03,First Name,RE [0..1],No,Patient,US Core Patient,Patient.name.given,string,n/a,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,
ePatient,ePatient.04,Middle Initial/Name,O,No,Patient,US Core Patient,Patient.name.given[1],string,n/a,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,
ePatient,ePatient.05-.11,Home Address/City/County/State/ZIP/Country/Census,O/R,No,Patient,US Core Patient,Patient.address,address,USPS/FIPS,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,
ePatient,ePatient.12,Social Security Number,O,No,Patient,US Core Patient,Patient.identifier (SSN),string→Identifier,system=us-ssn,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,PHI — governance-gated
ePatient,ePatient.13,Gender (DEPRECATED in 3.5.0),R [1..1],No,Patient,US Core Patient,Patient.gender,code,admin-gender ConceptMap,NV(7701xxx)→data-absent-reason,n/a,(subject),Deferred,LEGACY fallback only — prefer .25 (ADR-007)
ePatient,ePatient.25,Sex (replaces .13),R,No,Patient,US Core Patient,Patient.gender + US Core Sex/birthsex ext,code,admin-gender / birthsex ConceptMap,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,SOURCE OF TRUTH for sex (ADR-007)
ePatient,ePatient.14,Race,R [1..*],Yes,Patient,US Core Patient,Patient.extension (us-core-race) + pcc-uv-race,code,OMB race → CDC Race&Ethnicity ConceptMap,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,Dual-carry US Core + mPSC ext (ADR-006)
ePatient,ePatient.15,Age,R [1..1],No,Patient/Observation,US Core Patient,Patient.birthDate (derive) / Observation age,integer,with .16 units,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,"When DOB absent, keep age Observation"
ePatient,ePatient.16,Age Units,R [1..1],No,(qualifier),—,(units for .15),code,age-unit ConceptMap→UCUM,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,Neonatal: days/hours
ePatient,ePatient.17,Date of Birth,RE [0..1],No,Patient,US Core Patient,Patient.birthDate,date,n/a,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,
ePatient,ePatient.18,Patient's Phone Number,O [0..*],Yes,Patient,US Core Patient,Patient.telecom (phone),contactPoint,n/a,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,
ePatient,ePatient.19,Patient's Email Address,O [0..*],Yes,Patient,US Core Patient,Patient.telecom (email),contactPoint,n/a,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,
ePatient,ePatient.20-.21,Driver's License State / Number,O,No,Patient,US Core Patient,Patient.identifier (DL),string→Identifier,system=state DMV,NV(7701xxx)→data-absent-reason,n/a,(subject),Mapped,
ePatient,ePatient.22,Alternate Home Residence,RE [0..1],No,Patient,—,Patient.extension (residence type),code,residence ConceptMap,NV(7701xxx)→data-absent-reason,n/a,(subject),Seeded,Homeless/SNF/etc.
eSituation_eInjury,eSituation.01,Date/Time of Symptom Onset,R [1..1],No,Condition,US Core Condition,Condition.onsetDateTime,dateTime,n/a,NV(7701xxx)→data-absent-reason,n/a,Problems,Mapped,
eSituation_eInjury,eSituation.02,Possible Injury,R [1..1],No,Observation/Flag,—,Observation (injury present) valueBoolean,boolean/code,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,Gates eInjury relevance
eSituation_eInjury,eSituation.03,Complaint Type,RE [0..1],No,Condition,—,Condition.category (chief complaint),code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Problems,Mapped,
eSituation_eInjury,eSituation.04,Complaint (chief),RE [0..1],No,Condition,US Core Condition,Condition.code (text) / Observation,string/code,free-text or SNOMED,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,Chief complaint
eSituation_eInjury,eSituation.05-.06,Duration of Complaint + Time Units,RE,No,Condition,—,Condition.onset (derive) / note,integer+unit,UCUM,NV(7701xxx)→data-absent-reason,n/a,Problems,Seeded,
eSituation_eInjury,eSituation.07,Chief Complaint Anatomic Location,R [1..1],No,Condition,—,Condition.bodySite,code,SNOMED body structure,NV(7701xxx)→data-absent-reason,n/a,Problems,Mapped,NOT primary symptom (agent-verified)
eSituation_eInjury,eSituation.08,Chief Complaint Organ System,R [1..1],No,Condition,—,Condition.bodySite (system),code,SNOMED,NV(7701xxx)→data-absent-reason,n/a,Problems,Mapped,
eSituation_eInjury,eSituation.09,Primary Symptom,R [1..1],No,Observation/Condition,—,Observation (symptom) / Condition,code,"ICD-10-CM (source-coded, pass-through) [corrected 2026-08-06: 3.5.0 XSD pattern-verified; was SNOMED]",NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,
eSituation_eInjury,eSituation.10,Other Associated Symptoms,R [1..1],Yes,Observation,—,Observation (symptoms),code,"ICD-10-CM (source-coded, pass-through) [corrected 2026-08-06: 3.5.0 XSD pattern-verified; was SNOMED]",NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,PN carries pertinent negatives
eSituation_eInjury,eSituation.11,Provider's Primary Impression,R [1..1],No,Condition,US Core Condition (Encounter Dx),Condition.code (principal),code,"ICD-10-CM (source-coded, pass-through) [corrected 2026-08-06: 3.5.0 XSD pattern-verified; was SNOMED]",NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,PRINCIPAL condition; ICD-10-CM already in source (3.5.0 XSD-verified)
eSituation_eInjury,eSituation.12,Provider's Secondary Impressions,R [1..1],Yes,Condition,US Core Condition,Condition.code (additional),code,"ICD-10-CM (source-coded, pass-through) [corrected 2026-08-06: 3.5.0 XSD pattern-verified; was SNOMED]",NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,
eSituation_eInjury,eSituation.13,Initial Patient Acuity,R [1..1],No,Observation,—,Observation (acuity) valueCodeableConcept,code,acuity ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Problems,Mapped,
eSituation_eInjury,eSituation.14,Work-Related Illness/Injury,RE [0..1],No,Observation,—,Observation valueBoolean,boolean,—,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Seeded,
eSituation_eInjury,eSituation.15-.17,Occupational Industry / Occupation / Activity,O/RE,No,Observation,US Core Occupation (Odh),Observation (ODH industry/occupation),code,ODH ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Social History*,Seeded,Maps to Occupational Data for Health
eSituation_eInjury,eSituation.18,Date/Time Last Known Well,R [1..1],No,Observation,—,Observation (LKW) valueDateTime,dateTime,stroke-relevant,NV(7701xxx)→data-absent-reason,n/a,Problems,Mapped,Critical for stroke
eSituation_eInjury,eSituation.19-.20,Justification / Reason for Interfacility Transfer,RE/R,No,ServiceRequest/Encounter,—,ServiceRequest.reasonCode; Encounter.reasonCode,code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,EMS Course*,Mapped,RIPT use case driver
eSituation_eInjury,eInjury.01,Cause of Injury,R [1..*],Yes,Condition/Observation,—,Condition.code (external cause),code,ICD-10-CM external cause,NV(7701xxx)→data-absent-reason,n/a,Problems,Mapped,
eSituation_eInjury,eInjury.02,Mechanism of Injury,RE [0..*],Yes,Observation,—,Observation (MOI),code,SNOMED ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,
eSituation_eInjury,eInjury.03,Trauma Triage Criteria (High Risk),R [1..*],Yes,Observation,—,Observation (trauma triage) hasMember,code,CDC field triage ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,Steps 1-2
eSituation_eInjury,eInjury.04,Trauma Triage Criteria (Moderate Risk),R [1..*],Yes,Observation,—,Observation (trauma triage),code,CDC field triage,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,Steps 3-4
eSituation_eInjury,eInjury.05-.10,Vehicle impact / seat / safety equip / airbag / fall height / PPE,O/RE,Yes,Observation,—,Observation cluster,mixed,ConceptMaps,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Seeded,Injury detail; CR only
eSituation_eInjury,eInjury.11-.29,ACN telematics (crash notification data),O,Yes,Observation / DocumentReference,—,Observation cluster or DocumentReference,mixed,—,NV(7701xxx)→data-absent-reason,n/a,Results*,Deferred,Automatic Crash Notification; low field prevalence — CR/attachment
eArrest,eArrest.01,Cardiac Arrest,R [1..1],No,Observation,—,Observation (cardiac arrest) valueCodeableConcept,code,yes/no/prior ConceptMap,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Problems,Mapped,GATE field; PN=present-prior-to-EMS
eArrest,eArrest.02,Cardiac Arrest Etiology,R [1..1],No,Observation/Condition,—,Condition.code / Observation,code,SNOMED,NV(7701xxx)→data-absent-reason,n/a,Problems,Mapped,
eArrest,eArrest.03,Resuscitation Attempted By EMS,R [1..*],Yes,Procedure,—,Procedure (resuscitation),code,SNOMED,NV(7701xxx)→data-absent-reason,PN(8801xxx)→statusReason/negation,Procedures*,Mapped,
eArrest,eArrest.04,Arrest Witnessed By,R [1..*],Yes,Observation,—,Observation valueCodeableConcept,code,ConceptMap,NV(7701xxx)→data-absent-reason,n/a,Problems,Mapped,
